code,name,latitude,longitude
7015,LaSalle / 4e avenue,45.43074022417498,-73.5919108253438
6714,LaSalle / Sénécal,45.43443353453236,-73.58669400215149
6712,LaSalle / Crawford,45.43791380065227,-73.58274042606354
6715,Natatorium (LaSalle / Rolland),45.44440817060518,-73.57556819915771
7048,Métro Angrignon,45.446534244545326,-73.60354088363238
7056,Godin / Bannantyne,45.4475536968409,-73.57726335525513
7051,Jogues / Allard,45.449900812620385,-73.60025119094644
6706,Beatty / de Verdun,45.450729976972944,-73.5725748538971
6725,Métro Monk (Allard / Beaulieu),45.45085122,-73.5940272
7059,Argyle / Bannantyne,45.45324567428996,-73.57681475579739
6309,5e avenue / de Verdun,45.456049,-73.571877
6744,Hamilton / Jolicoeur,45.456355,-73.597557
6369,West Broadway / Sherbrooke,45.45635829051657,-73.64013027457986
6705,5e avenue / Bannantyne,45.456365,-73.57614
6707,Métro Jolicoeur (Drake / de Sève),45.456498000831544,-73.58214363455772
6754,Eadie / Dubois,45.45759682462104,-73.59052859581423
7057,2e avenue / Wellington,45.45789352611307,-73.56752824096475
7010,Belmore / Sherbrooke,45.459233060280816,-73.63740515022073
6426,Métro Verdun (Willibrord / de Verdun),45.459487694540734,-73.57209205627441
6428,Berlioz / de l'Île des Soeurs,45.45998577640931,-73.54395568370819
6719,Park Row O / Sherbrooke,45.46072936353252,-73.63407254219055
7058,Gordon / Wellington,45.461077990108386,-73.56730699539183
6709,Le Caron / Marc-Sauvalle ,45.461685,-73.584039
6742,Briand / le Caron,45.462362,-73.59665
6425,Ross / de l'Église,45.462742,-73.565845
7060,de l'Église / de Verdun,45.46300108733155,-73.57156895217486
6379,de l'Église / Bannantyne,45.4632535358533,-73.57587933540344
7013,Benny Crescent / Benny,45.46431546986341,-73.62556993961334
6718,Grand Boulevard / Sherbrooke,45.466569,-73.623295
6115,Benny / de Monkland,45.466914254987394,-73.6317041516304
6429,Place du Commerce,45.46714,-73.54259
6341,Regina / de Verdun,45.467369,-73.570769
7054,Cote St-Paul / St-Ambroise,45.467665653865964,-73.59391784324544
6363,de Clifton / Sherbrooke,45.46904609121779,-73.6185747385025
6415,Wilson / Sherbrooke,45.4703,-73.6162
6313,Palm / St-Remi,45.470303,-73.589848
6427,Métro Lasalle (de Rushbrooke / Caisse),45.47069642604657,-73.56542240828276
6263,de Hampton / de Monkland,45.471161595177456,-73.62720608711243
6354,Marcil / Sherbrooke,45.471743,-73.613924
6724,Square Sir-Georges-Étienne-Cartier / Léa Roback,45.471926,-73.58247
6016,Jacques-Le Ber / de la Pointe Nord,45.472503,-73.539285
6402,Square Sir-Georges-Etienne-Cartier / Ste-Émilie,45.47266800851548,-73.585389778018
6080,Métro Vendôme,45.47413823404424,-73.60359728336334
6418,de Vendôme / de Maisonneuve,45.47441930263679,-73.6040586233139
6339,d'Oxford / de Monkland,45.475141540219525,-73.62350463867188
6349,Ryde / Charlevoix,45.4757434,-73.5646007
6356,de Monkland / Girouard,45.47710675189806,-73.6214379966259
6375,Métro Place St-Henri (St-Ferdinand / St-Jacques),45.477249,-73.587238
6416,Notre-Dame-de-Grâce / Décarie,45.47735333523628,-73.61537218093872
6434,Victoria / de Maisonneuve,45.47742856483265,-73.60016942024231
6732,Fortune / Wellington,45.477923,-73.559038
10002,Métro Charlevoix (Centre / Charlevoix),45.47822787309145,-73.56965124607086
7011,Girouard / de Terrebonne,45.47843159157294,-73.62489938735962
